,file_name,concepts.facet,concepts.facet_instance,first_position
0,NewGold_CSR.pdf,HUMANITARIAN_THEME,sustainable development,0.01626233004532125
1,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.10023993601706212
2,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,health,0.11316982138096508
3,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.1808850973073847
4,NewGold_CSR.pdf,EMERGENCY,conflict,0.18448413756331644
5,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.18661690215942414
6,NewGold_CSR.pdf,EMERGENCY,conflict,0.19288189816049053
7,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,health,0.19981338309784058
8,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.22900559850706478
9,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.23193814982671287
10,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.23433750999733405
11,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.23540389229538788
12,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.23860303918954945
13,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.24100239936017062
14,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,education,0.25579845374566784
15,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,health,0.3255131964809384
16,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,health,0.33231138363103174
17,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,health,0.3343108504398827
18,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,health,0.3355105305251933
19,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,health,0.33711010397227403
20,NewGold_CSR.pdf,EMERGENCY,fire,0.3541722207411357
21,NewGold_CSR.pdf,EMERGENCY,fire,0.3567048786990136
22,NewGold_CSR.pdf,EMERGENCY,firefighters,0.3604372167422021
23,NewGold_CSR.pdf,EMERGENCY,emergency,0.3647027459344175
24,NewGold_CSR.pdf,EMERGENCY,emergency response,0.3647027459344175
25,NewGold_CSR.pdf,HUMANITARIAN_THEME,response,0.3648360437216742
26,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,health,0.3798986936816849
27,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,health,0.38109837376699546
28,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,health,0.38603039189549454
29,NewGold_CSR.pdf,HUMANITARIAN_THEME,sustainable development,0.4060250599840043
30,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.41708877632631297
31,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.49306851506265
32,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.4954678752332711
33,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.49653425753132496
34,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.49986670221274326
35,NewGold_CSR.pdf,HUMANITARIAN_THEME,community engagement,0.5022660623833645
36,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,education,0.5463876299653426
37,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,education,0.5977072780591842
38,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,health,0.5978405758464409
39,NewGold_CSR.pdf,EMERGENCY,emergency,0.611703545721141
40,NewGold_CSR.pdf,HUMANITARIAN_THEME,preparedness,0.6118368435083977
41,NewGold_CSR.pdf,HUMANITARIAN_THEME,response,0.6121034390829112
42,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,education,0.6476939482804586
43,NewGold_CSR.pdf,EMERGENCY,emergency,0.7382031458277792
44,NewGold_CSR.pdf,HUMANITARIAN_THEME,preparedness,0.738336443615036
45,NewGold_CSR.pdf,HUMANITARIAN_THEME,response,0.7386030391895495
46,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,protection,0.7499333511063716
47,NewGold_CSR.pdf,EMERGENCY,emergency,0.7504665422553985
48,NewGold_CSR.pdf,EMERGENCY,emergency response,0.7504665422553985
49,NewGold_CSR.pdf,HUMANITARIAN_THEME,response,0.7505998400426553
50,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,protection,0.8200479872034124
51,NewGold_CSR.pdf,HUM_ACTION_CLUSTER,protection,0.9690749133564383
52,Pearson_Environmental_Review_2016.pdf,HUM_ACTION_CLUSTER,education,0.0015087507543753772
