,file_name,concepts.facet,concepts.facet_instance,first_position
0,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,sustainable development,0.05389221556886228
1,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,sustainable development,0.062018819503849444
2,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,sustainable development goals,0.062018819503849444
3,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,sustainable development,0.08276304533789564
4,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,sustainable development,0.11441402908468777
5,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,sustainable development goals,0.11441402908468777
6,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,sustainable development,0.1199743370402053
7,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,sustainable development goals,0.1199743370402053
8,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,human rights,0.12318220701454234
9,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,prevention,0.12489307100085544
10,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,EMERGENCY,climate change,0.12596236099230113
11,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,climate change,0.12596236099230113
12,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUM_ACTION_CLUSTER,protection,0.12660393498716851
13,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,human rights,0.12959794696321641
14,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,human rights,0.13045337895637296
15,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUM_ACTION_CLUSTER,protection,0.13237810094097519
16,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUM_ACTION_CLUSTER,health,0.1330196749358426
17,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUM_ACTION_CLUSTER,education,0.13451668092386657
18,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUM_ACTION_CLUSTER,protection,0.1364414029084688
19,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUM_ACTION_CLUSTER,health,0.14285714285714285
20,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,sustainable development,0.14884516680923868
21,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,sustainable development goals,0.14884516680923868
22,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,gender,0.19225834046193327
23,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUM_ACTION_CLUSTER,education,0.1982463644140291
24,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,EMERGENCY,climate change,0.20017108639863132
25,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,climate change,0.20017108639863132
26,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,early warning,0.20166809238665526
27,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUM_ACTION_CLUSTER,protection,0.31565440547476475
28,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,prevention,0.316082121471343
29,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,sustainable development,0.3261334473909324
30,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,sustainable development goals,0.3261334473909324
31,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUM_ACTION_CLUSTER,logistics,0.3721129170230967
32,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,EMERGENCY,climate change,0.3793840889649273
33,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,climate change,0.3793840889649273
34,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUMANITARIAN_THEME,prevention,0.39050470487596234
35,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,EMERGENCY,drought,0.39927288280581696
36,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUM_ACTION_CLUSTER,protection,0.4238665526090676
37,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUM_ACTION_CLUSTER,food security,0.46043627031650985
38,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUM_ACTION_CLUSTER,education,0.4831052181351583
39,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,HUM_ACTION_CLUSTER,protection,0.49871685201026517
